source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
20050487,45567271,MEDIS_DIAGKNR_S,J67.6|かえで樹皮はぎ職人肺,438175,SNOMED,1990-05-01,2099-12-31,
20050489,45562431,MEDIS_DIAGKNR_S,J00|かぜ,260427,SNOMED,1990-05-01,2099-12-31,
20050493,45567270,MEDIS_DIAGKNR_S,J67.5|きのこ作業者肺,433233,SNOMED,1990-05-01,2099-12-31,
20050494,45594812,MEDIS_DIAGKNR_S,T62.0|きのこ中毒,437434,SNOMED,1990-05-01,2099-12-31,
20050496,45582693,MEDIS_DIAGKNR_S,R06.7|くしゃみ,4328356,SNOMED,1990-05-01,2099-12-31,
20050498,45552312,MEDIS_DIAGKNR_S,C91.5|くすぶり型白血病,4003188,SNOMED,1990-05-01,2099-12-31,
20050500,45533504,MEDIS_DIAGKNR_S,I78.1|くも状血管腫,135287,SNOMED,1990-05-01,2099-12-31,
20050502,45581302,MEDIS_DIAGKNR_S,D32.9|くも膜のう腫,4003171,SNOMED,1990-05-01,2099-12-31,
20050503,45595966,MEDIS_DIAGKNR_S,G93.0|くも膜のう胞,380702,SNOMED,1990-05-01,2099-12-31,
20050504,45571785,MEDIS_DIAGKNR_S,G03.9|くも膜炎,435785,SNOMED,1990-05-01,2099-12-31,
20050506,45591472,MEDIS_DIAGKNR_S,I60.9|くも膜下出血,4148906,SNOMED,1990-05-01,2099-12-31,
20050508,45543193,MEDIS_DIAGKNR_S,I69.0|くも膜下出血後遺症,4111720,SNOMED,1990-05-01,2099-12-31,
20050509,45605527,MEDIS_DIAGKNR_S,G06.2|くも膜下膿瘍,4208815,SNOMED,1990-05-01,2099-12-31,
