source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
A2GS,45586114,MEDIS_DIAGEXC_S,D48.7|結膜腫瘍,432582,SNOMED,1990-05-01,2099-12-31,
A2GU,45586780,MEDIS_DIAGEXC_S,L72.2|多発性脂腺のう胞症,4033450,SNOMED,1990-05-01,2099-12-31,
A2J8,45602056,MEDIS_DIAGEXC_S,S01.1|眼部創傷,441712,SNOMED,1990-05-01,2099-12-31,
A2N3,45547404,MEDIS_DIAGEXC_S,A39.1|ウォターハウスフリードリクセン症候群,434275,SNOMED,1990-05-01,2099-12-31,
A2N3,45581367,MEDIS_DIAGEXC_S,E35.1|ウォターハウスフリードリクセン症候群,193165,SNOMED,1990-05-01,2099-12-31,
A2PK,42619029,MEDIS_DIAGEXC_S,M87.05|特発性大腿骨頭壊死,37164468,SNOMED,2016-12-01,2099-12-31,
A2RK,45597193,MEDIS_DIAGEXC_S,R60.0|下腿浮腫,4171917,SNOMED,1990-05-01,2099-12-31,
A2SA,45544057,MEDIS_DIAGEXC_S,P23.5|緑膿菌性先天性肺炎,4048149,SNOMED,1990-05-01,2099-12-31,
A2TA,45563257,MEDIS_DIAGEXC_S,Q65.2|先天性股関節脱臼前状態,4167532,SNOMED,1990-05-01,2099-12-31,
A2U0,45542782,MEDIS_DIAGEXC_S,E87.8|体液調節不全症,441830,SNOMED,1990-05-01,2099-12-31,
A2U8,45576571,MEDIS_DIAGEXC_S,G24.1|ドーパ反応性ジストニア,4043388,SNOMED,1990-05-01,2099-12-31,
A2UA,45544098,MEDIS_DIAGEXC_S,Q55.2|性腺形成異常・男性,4194856,SNOMED,1990-05-01,2099-12-31,
A2VQ,45571606,MEDIS_DIAGEXC_S,D27|卵巣甲状腺腫,199764,SNOMED,1990-05-01,2099-12-31,
A300,45590922,MEDIS_DIAGEXC_S,C74.1|副腎髄質の悪性腫瘍,4162859,SNOMED,1990-05-01,2099-12-31,
A30P,45568099,MEDIS_DIAGEXC_S,Q89.1|副腎の先天奇形,201399,SNOMED,1990-05-01,2099-12-31,
A30Q,45533635,MEDIS_DIAGEXC_S,L12.0|水疱性類天疱瘡,4298692,SNOMED,1990-05-01,2099-12-31,
A31H,45576549,MEDIS_DIAGEXC_S,F45.3|心因性胃アトニー,4333680,SNOMED,1990-05-01,2099-12-31,
A31K,45562807,MEDIS_DIAGEXC_S,M67.8|滑膜ひだ障害,4208786,SNOMED,1990-05-01,2099-12-31,
A32H,45548202,MEDIS_DIAGEXC_S,L66.4|瘢痕性紅斑性網様毛包炎,4099178,SNOMED,1990-05-01,2099-12-31,
A33L,45590976,MEDIS_DIAGEXC_S,D04.9|皮膚上皮内癌,138996,SNOMED,1990-05-01,2099-12-31,
A341,45566486,MEDIS_DIAGEXC_S,A01.1|パラチフスＡ,195460,SNOMED,1990-05-01,2099-12-31,
A344,42617580,MEDIS_DIAGEXC_S,M46.34|胸椎化膿性椎間板炎,443795,SNOMED,2016-12-01,2099-12-31,
A344,42617580,MEDIS_DIAGEXC_S,M46.34|胸椎化膿性椎間板炎,4067312,SNOMED,2016-12-01,2099-12-31,
A34B,45571422,MEDIS_DIAGEXC_S,A26.0|皮膚類丹毒,4345447,SNOMED,1990-05-01,2099-12-31,
A34C,42618341,MEDIS_DIAGEXC_S,M72.60|下肢壊死性筋膜炎,133566,SNOMED,2016-12-01,2099-12-31,
A36E,45575520,MEDIS_DIAGEXC_S,T78.0|そばによるアナフィラキシーショック,434219,SNOMED,1990-05-01,2099-12-31,
A38R,45591475,MEDIS_DIAGEXC_S,I63.4|心原性脳塞栓症,4108356,SNOMED,1990-05-01,2099-12-31,
A38S,45594523,MEDIS_DIAGEXC_S,T25.3|第４趾第３度熱傷,198645,SNOMED,1990-05-01,2099-12-31,
A39V,45543183,MEDIS_DIAGEXC_S,I51.3|心尖部血栓症,4237062,SNOMED,1990-05-01,2099-12-31,
A3AG,45588506,MEDIS_DIAGEXC_S,S61.8|手掌皮膚欠損創,4216185,SNOMED,1990-05-01,2099-12-31,
A3C9,45538502,MEDIS_DIAGEXC_S,K09.1|新生児口蓋のう胞,437316,SNOMED,1990-05-01,2099-12-31,
A3CH,45586775,MEDIS_DIAGEXC_S,L65.0|休止期性脱毛,140173,SNOMED,1990-05-01,2099-12-31,
A3CV,45586698,MEDIS_DIAGEXC_S,K07.3|唇側転位歯,433243,SNOMED,1990-05-01,2099-12-31,
A3DQ,45558411,MEDIS_DIAGEXC_S,Q50.5|卵巣上体のう胞,4109624,SNOMED,1990-05-01,2099-12-31,
A3E0,45552716,MEDIS_DIAGEXC_S,H50.0|交代性内斜視,377877,SNOMED,1990-05-01,2099-12-31,
A3E6,45596296,MEDIS_DIAGEXC_S,K07.5|閉口異常,201603,SNOMED,1990-05-01,2099-12-31,
A3EJ,45538192,MEDIS_DIAGEXC_S,H05.3|眼窩萎縮,434654,SNOMED,1990-05-01,2099-12-31,
A3FT,45538145,MEDIS_DIAGEXC_S,G90.9|自律神経症,434633,SNOMED,1990-05-01,2099-12-31,
A3GC,45542688,MEDIS_DIAGEXC_S,D22.5|胸部母斑,4033837,SNOMED,1990-05-01,2099-12-31,
A3HB,45549054,MEDIS_DIAGEXC_S,S05.1|外傷性硝子体出血,381444,SNOMED,1990-05-01,2099-12-31,
A3HK,45582643,MEDIS_DIAGEXC_S,Q25.7|先天性肺動静脈瘻,435646,SNOMED,1990-05-01,2099-12-31,
A3J0,45589506,MEDIS_DIAGEXC_S,T14.1|貫通刺創,444187,SNOMED,1990-05-01,2099-12-31,
A3JS,45591601,MEDIS_DIAGEXC_S,K61.1|直腸周囲膿瘍,443327,SNOMED,1990-05-01,2099-12-31,
A3JV,42616638,MEDIS_DIAGEXC_S,M06.84|尺側偏位,4115161,SNOMED,2016-12-01,2099-12-31,
A3K5,45606863,MEDIS_DIAGEXC_S,S01.8|下顎外傷性異物,4243161,SNOMED,1990-05-01,2099-12-31,
A3K7,45605794,MEDIS_DIAGEXC_S,I33.0|遷延性心内膜炎,4119460,SNOMED,1990-05-01,2099-12-31,
A3KS,45584816,MEDIS_DIAGEXC_S,T31.2|体表面積２０−２９％の熱傷,136871,SNOMED,1990-05-01,2099-12-31,
A3LH,45559891,MEDIS_DIAGEXC_S,S74.1|大腿神経損傷,435138,SNOMED,1990-05-01,2099-12-31,
A3LJ,45591637,MEDIS_DIAGEXC_S,L50.2|寒冷じんま疹,4065355,SNOMED,1990-05-01,2099-12-31,
A3LM,45543263,MEDIS_DIAGEXC_S,J34.0|鼻中隔膿瘍,36686082,SNOMED,1990-05-01,2099-12-31,
A3LV,45547630,MEDIS_DIAGEXC_S,E13.1|ミトコンドリア糖尿病・ケトアシドーシス合併あり,201820,SNOMED,1990-05-01,2099-12-31,
A3LV,45547630,MEDIS_DIAGEXC_S,E13.1|ミトコンドリア糖尿病・ケトアシドーシス合併あり,443727,SNOMED,1990-05-01,2099-12-31,
A3LV,45581390,MEDIS_DIAGEXC_S,E88.8|ミトコンドリア糖尿病・ケトアシドーシス合併あり,436670,SNOMED,1990-05-01,2099-12-31,
A3Q6,45562083,MEDIS_DIAGEXC_S,G40.9|脳卒中後てんかん,380378,SNOMED,1990-05-01,2099-12-31,
A3Q6,45591490,MEDIS_DIAGEXC_S,I69.4|脳卒中後てんかん,43530623,SNOMED,1990-05-01,2099-12-31,
A3QC,45591572,MEDIS_DIAGEXC_S,K07.1|下顎左側偏位,434063,SNOMED,1990-05-01,2099-12-31,
A3QE,45578756,MEDIS_DIAGEXC_S,S61.0|母指挫創,4054063,SNOMED,1990-05-01,2099-12-31,
A3QU,45538536,MEDIS_DIAGEXC_S,K55.0|大網梗塞,201894,SNOMED,1990-05-01,2099-12-31,
A3S7,45532849,MEDIS_DIAGEXC_S,A66.4|ゴム腫性フランベジア,433706,SNOMED,1990-05-01,2099-12-31,
A3SK,45601378,MEDIS_DIAGEXC_S,M20.0|ボタンホール変形,78524,SNOMED,1990-05-01,2099-12-31,
A3TR,45755728,MEDIS_DIAGEXC_S,S37.91|開放性尿路損傷,193345,SNOMED,1990-05-01,2099-12-31,
A3U1,45586312,MEDIS_DIAGEXC_S,G72.1|アルコール性ミオパチー,4078688,SNOMED,1990-05-01,2099-12-31,
A407,45587488,MEDIS_DIAGEXC_S,Q81.8|接合部型先天性表皮水疱症,4246290,SNOMED,1990-05-01,2099-12-31,
A40C,45552787,MEDIS_DIAGEXC_S,I27.0|肺動脈性肺高血圧症,4013643,SNOMED,1990-05-01,2099-12-31,
A40D,45548344,MEDIS_DIAGEXC_S,M20.3|槌状母趾,4345599,SNOMED,1990-05-01,2099-12-31,
A41S,45571837,MEDIS_DIAGEXC_S,G95.1|脊髄硬膜下出血,136960,SNOMED,1990-05-01,2099-12-31,
A42C,45538584,MEDIS_DIAGEXC_S,L73.1|須毛偽毛包のう炎,4160464,SNOMED,1990-05-01,2099-12-31,
A42E,45590982,MEDIS_DIAGEXC_S,D18.1|肘関節部リンパ管腫,433997,SNOMED,1990-05-01,2099-12-31,
